"Var1" "Var2" "type"
"228" "695" "683" "SG"
"229" "685" "683" "SG"
"230" "771" "683" "SG"
"231" "715" "683" "SG"
"232" "765" "683" "SG"
"233" "667" "683" "SG"
"234" "775" "683" "SG"
"235" "761" "683" "SG"
"236" "689" "683" "SG"
"237" "773" "683" "SG"
"238" "659" "683" "SG"
"239" "671" "683" "SG"
"240" "774" "683" "SG"
"241" "731" "683" "SG"
"242" "692" "683" "SG"
"243" "706" "683" "SG"
"244" "793" "683" "SG"
"245" "785" "683" "SG"
"246" "772" "683" "SG"
"247" "754" "683" "SG"
"248" "730" "683" "SG"
"249" "760" "683" "SG"
"250" "790" "683" "SG"
"251" "794" "683" "SG"
"252" "788" "683" "SG"
"253" "783" "683" "SG"
"254" "784" "683" "SG"
"255" "776" "683" "SG"
"256" "712" "683" "SG"
"257" "709" "683" "SG"
"258" "723" "683" "SG"
"259" "724" "683" "SG"
"260" "780" "683" "SG"
"261" "657" "734" "SG"
"262" "675" "734" "SG"
"263" "678" "734" "SG"
"264" "651" "734" "SG"
"265" "669" "734" "SG"
"266" "702" "734" "SG"
"267" "700" "734" "SG"
"268" "704" "734" "SG"
"269" "697" "734" "SG"
"270" "720" "734" "SG"
"271" "665" "734" "SG"
"272" "653" "734" "SG"
"273" "661" "734" "SG"
"274" "682" "734" "SG"
"275" "663" "734" "SG"
"276" "673" "734" "SG"
"277" "737" "734" "SG"
"278" "679" "734" "SG"
"279" "666" "734" "SG"
"280" "695" "734" "SG"
"281" "685" "734" "SG"
"282" "771" "734" "SG"
"283" "715" "734" "SG"
"284" "765" "734" "SG"
"285" "667" "734" "SG"
"286" "775" "734" "SG"
"287" "761" "734" "SG"
"288" "689" "734" "SG"
"289" "773" "734" "SG"
"290" "659" "734" "SG"
"291" "671" "734" "SG"
"292" "774" "734" "SG"
"293" "731" "734" "SG"
"294" "692" "734" "SG"
"295" "706" "734" "SG"
"296" "793" "734" "SG"
"297" "785" "734" "SG"
"298" "772" "734" "SG"
"299" "754" "734" "SG"
"300" "730" "734" "SG"
"301" "760" "734" "SG"
"302" "790" "734" "SG"
"303" "794" "734" "SG"
"304" "788" "734" "SG"
"305" "783" "734" "SG"
"306" "784" "734" "SG"
"307" "776" "734" "SG"
"308" "712" "734" "SG"
"309" "709" "734" "SG"
"310" "723" "734" "SG"
"311" "724" "734" "SG"
"312" "780" "734" "SG"
"313" "657" "703" "SG"
"314" "675" "703" "SG"
"315" "678" "703" "SG"
"316" "651" "703" "SG"
"317" "669" "703" "SG"
"318" "702" "703" "SG"
"319" "700" "703" "SG"
"320" "704" "703" "SG"
"321" "697" "703" "SG"
"322" "720" "703" "SG"
"323" "665" "703" "SG"
"324" "653" "703" "SG"
"325" "661" "703" "SG"
"326" "682" "703" "SG"
"327" "663" "703" "SG"
"328" "673" "703" "SG"
"329" "737" "703" "SG"
"330" "679" "703" "SG"
"331" "666" "703" "SG"
"332" "695" "703" "SG"
"333" "685" "703" "SG"
"334" "771" "703" "SG"
"335" "715" "703" "SG"
"336" "765" "703" "SG"
"337" "667" "703" "SG"
"338" "775" "703" "SG"
"339" "761" "703" "SG"
"340" "689" "703" "SG"
"341" "773" "703" "SG"
"342" "659" "703" "SG"
"343" "671" "703" "SG"
"344" "774" "703" "SG"
"345" "731" "703" "SG"
"346" "692" "703" "SG"
"347" "706" "703" "SG"
"348" "793" "703" "SG"
"349" "785" "703" "SG"
"350" "772" "703" "SG"
"351" "754" "703" "SG"
"352" "730" "703" "SG"
"353" "760" "703" "SG"
"354" "790" "703" "SG"
"355" "794" "703" "SG"
"356" "788" "703" "SG"
"357" "783" "703" "SG"
"358" "784" "703" "SG"
"359" "776" "703" "SG"
"360" "712" "703" "SG"
"361" "709" "703" "SG"
"362" "723" "703" "SG"
"363" "724" "703" "SG"
"364" "780" "703" "SG"
"365" "657" "688" "SG"
"366" "675" "688" "SG"
"367" "678" "688" "SG"
"368" "651" "688" "SG"
"369" "669" "688" "SG"
"370" "702" "688" "SG"
"371" "700" "688" "SG"
"372" "704" "688" "SG"
"373" "697" "688" "SG"
"374" "720" "688" "SG"
"375" "665" "688" "SG"
"376" "653" "688" "SG"
"377" "661" "688" "SG"
"378" "682" "688" "SG"
"379" "663" "688" "SG"
"380" "673" "688" "SG"
"381" "737" "688" "SG"
"382" "679" "688" "SG"
"383" "666" "688" "SG"
"384" "695" "688" "SG"
"385" "685" "688" "SG"
"386" "771" "688" "SG"
"387" "715" "688" "SG"
"388" "765" "688" "SG"
"389" "667" "688" "SG"
"390" "775" "688" "SG"
"391" "761" "688" "SG"
"392" "689" "688" "SG"
"393" "773" "688" "SG"
"394" "659" "688" "SG"
"395" "671" "688" "SG"
"396" "774" "688" "SG"
"397" "731" "688" "SG"
"398" "692" "688" "SG"
"399" "706" "688" "SG"
"400" "793" "688" "SG"
"401" "785" "688" "SG"
"402" "772" "688" "SG"
"403" "754" "688" "SG"
"404" "730" "688" "SG"
"405" "760" "688" "SG"
"406" "790" "688" "SG"
"407" "794" "688" "SG"
"408" "788" "688" "SG"
"409" "783" "688" "SG"
"410" "784" "688" "SG"
"411" "776" "688" "SG"
"412" "712" "688" "SG"
"413" "709" "688" "SG"
"414" "723" "688" "SG"
"415" "724" "688" "SG"
"416" "780" "688" "SG"
"417" "657" "711" "SG"
"418" "675" "711" "SG"
"419" "678" "711" "SG"
"420" "651" "711" "SG"
"421" "669" "711" "SG"
"422" "702" "711" "SG"
"423" "700" "711" "SG"
"424" "704" "711" "SG"
"425" "697" "711" "SG"
"426" "720" "711" "SG"
"427" "665" "711" "SG"
"428" "653" "711" "SG"
"429" "661" "711" "SG"
"430" "682" "711" "SG"
"431" "663" "711" "SG"
"432" "673" "711" "SG"
"433" "737" "711" "SG"
"434" "679" "711" "SG"
"435" "666" "711" "SG"
"436" "695" "711" "SG"
"437" "685" "711" "SG"
"438" "771" "711" "SG"
"439" "715" "711" "SG"
"440" "765" "711" "SG"
"441" "667" "711" "SG"
"442" "775" "711" "SG"
"443" "761" "711" "SG"
"444" "689" "711" "SG"
"445" "773" "711" "SG"
"446" "659" "711" "SG"
"447" "671" "711" "SG"
"448" "774" "711" "SG"
"449" "731" "711" "SG"
"450" "692" "711" "SG"
"451" "706" "711" "SG"
"452" "793" "711" "SG"
"453" "785" "711" "SG"
"454" "772" "711" "SG"
"455" "754" "711" "SG"
"456" "730" "711" "SG"
"457" "760" "711" "SG"
"458" "790" "711" "SG"
"459" "794" "711" "SG"
"460" "788" "711" "SG"
"461" "783" "711" "SG"
"462" "784" "711" "SG"
"463" "776" "711" "SG"
"464" "712" "711" "SG"
"465" "709" "711" "SG"
"466" "723" "711" "SG"
"467" "724" "711" "SG"
"468" "780" "711" "SG"
"469" "657" "699" "SG"
"470" "675" "699" "SG"
"471" "678" "699" "SG"
"472" "651" "699" "SG"
"473" "669" "699" "SG"
"474" "702" "699" "SG"
"475" "700" "699" "SG"
"476" "704" "699" "SG"
"477" "697" "699" "SG"
"478" "720" "699" "SG"
"479" "665" "699" "SG"
"480" "653" "699" "SG"
"481" "661" "699" "SG"
"482" "682" "699" "SG"
"483" "663" "699" "SG"
"484" "673" "699" "SG"
"485" "737" "699" "SG"
"486" "679" "699" "SG"
"487" "666" "699" "SG"
"488" "695" "699" "SG"
"489" "685" "699" "SG"
"490" "771" "699" "SG"
"491" "715" "699" "SG"
"492" "765" "699" "SG"
"493" "667" "699" "SG"
"494" "775" "699" "SG"
"495" "761" "699" "SG"
"496" "689" "699" "SG"
"497" "773" "699" "SG"
"498" "659" "699" "SG"
"499" "671" "699" "SG"
"500" "774" "699" "SG"
"501" "731" "699" "SG"
"502" "692" "699" "SG"
"503" "706" "699" "SG"
"504" "793" "699" "SG"
"505" "785" "699" "SG"
"506" "772" "699" "SG"
"507" "754" "699" "SG"
"508" "730" "699" "SG"
"509" "760" "699" "SG"
"510" "790" "699" "SG"
"511" "794" "699" "SG"
"512" "788" "699" "SG"
"513" "783" "699" "SG"
"514" "784" "699" "SG"
"515" "776" "699" "SG"
"516" "712" "699" "SG"
"517" "709" "699" "SG"
"518" "723" "699" "SG"
"519" "724" "699" "SG"
"520" "780" "699" "SG"
"521" "657" "721" "SG"
"522" "675" "721" "SG"
"523" "678" "721" "SG"
"524" "651" "721" "SG"
"525" "669" "721" "SG"
"526" "702" "721" "SG"
"527" "700" "721" "SG"
"528" "704" "721" "SG"
"529" "697" "721" "SG"
"530" "720" "721" "SG"
"531" "665" "721" "SG"
"532" "653" "721" "SG"
"533" "661" "721" "SG"
"534" "682" "721" "SG"
"535" "663" "721" "SG"
"536" "673" "721" "SG"
"537" "737" "721" "SG"
"538" "679" "721" "SG"
"539" "666" "721" "SG"
"540" "695" "721" "SG"
"541" "685" "721" "SG"
"542" "771" "721" "SG"
"543" "715" "721" "SG"
"544" "765" "721" "SG"
"545" "667" "721" "SG"
"546" "775" "721" "SG"
"547" "761" "721" "SG"
"548" "689" "721" "SG"
"549" "773" "721" "SG"
"550" "659" "721" "SG"
"551" "671" "721" "SG"
"552" "774" "721" "SG"
"553" "731" "721" "SG"
"554" "692" "721" "SG"
"555" "706" "721" "SG"
"556" "793" "721" "SG"
"557" "785" "721" "SG"
"558" "772" "721" "SG"
"559" "754" "721" "SG"
"560" "730" "721" "SG"
"561" "760" "721" "SG"
"562" "790" "721" "SG"
"563" "794" "721" "SG"
"564" "788" "721" "SG"
"565" "783" "721" "SG"
"566" "784" "721" "SG"
"567" "776" "721" "SG"
"568" "712" "721" "SG"
"569" "709" "721" "SG"
"570" "723" "721" "SG"
"571" "724" "721" "SG"
"572" "780" "721" "SG"
"573" "657" "718" "SG"
"574" "675" "718" "SG"
"575" "678" "718" "SG"
"576" "651" "718" "SG"
"577" "669" "718" "SG"
"578" "702" "718" "SG"
"579" "700" "718" "SG"
"580" "704" "718" "SG"
"581" "697" "718" "SG"
"582" "720" "718" "SG"
"583" "665" "718" "SG"
"584" "653" "718" "SG"
"585" "661" "718" "SG"
"586" "682" "718" "SG"
